RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,AVG,TOTAL_DISTANCE,TOTAL_DRIVES,YEAR
T68,T68,Camilo Villegas,95,292.5,"53,231",182,Y2014
70,70,Phil Mickelson,71,292.4,"36,840",126,Y2014
T71,T71,Patrick Reed,92,292.3,"50,267",172,Y2014
T71,T71,Lee Westwood,57,292.3,"30,397",104,Y2014
73,73,Bill Haas,107,291.9,"56,626",194,Y2014
74,74,Trevor Immelman,84,291.8,"46,685",160,Y2014
75,75,Ben Martin,80,291.7,"46,668",160,Y2014
T76,T76,Billy Horschel,92,291.6,"47,828",164,Y2014
T76,T76,Kevin Stadler,90,291.6,"49,281",169,Y2014
78,78,Bo Van Pelt,83,291.3,"43,695",150,Y2014
79,79,Ernie Els,85,291.2,"41,354",142,Y2014
