RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,FAIRWAYS_HIT,POSSIBLE_FAIRWAYS,YEAR
103,,Patrick Rodgers,97,61.14,793,"1,297",Y2018
104,,Whee Kim,93,61.11,759,"1,242",Y2018
105,,Nick Taylor,94,60.94,766,"1,257",Y2018
106,,Bud Cauley,55,60.81,450,740,Y2018
107,,Si Woo Kim,108,60.68,886,"1,460",Y2018
108,,Nate Lashley,51,60.58,398,657,Y2018
T109,,Beau Hossler,104,60.47,881,"1,457",Y2018
T109,,D.A. Points,63,60.47,517,855,Y2018
T109,,Brendan Steele,74,60.47,572,946,Y2018
112,,Nicholas Lindheim,77,60.44,582,963,Y2018
113,,Andrew Putnam,97,60.42,751,"1,243",Y2018
114,,Jonas Blixt,67,60.3,518,859,Y2018
115,,Ethan Tracy,72,60.25,573,951,Y2018
116,,Byeong Hun An,86,60.19,709,"1,178",Y2018
117,,Marc Leishman,93,60.17,763,"1,268",Y2018
118,,Sam Saunders,80,60.14,620,"1,031",Y2018
T119,,Anirban Lahiri,82,60.09,691,"1,150",Y2018
T119,,Sean O'Hair,67,60.09,527,877,Y2018
121,,Chesson Hadley,103,60.07,832,"1,385",Y2018
122,,Mackenzie Hughes,80,60.04,637,"1,061",Y2018
123,,William McGirt,84,59.89,651,"1,087",Y2018
124,,Xander Schauffele,96,59.77,783,"1,310",Y2018
125,,Dustin Johnson,77,59.46,619,"1,041",Y2018
126,,Matt Jones,70,59.38,516,869,Y2018
127,,Tiger Woods,68,59.35,565,952,Y2018
128,,Billy Hurley III,70,59.24,529,893,Y2018
129,,Jon Rahm,71,59.2,550,929,Y2018
130,,Ryan Palmer,69,59.11,519,878,Y2018
131,,Harold Varner III,91,59.02,733,"1,242",Y2018
132,,Harris English,84,58.99,643,"1,090",Y2018
133,,Greg Chalmers,56,58.9,427,725,Y2018
134,,Stephan Jaeger,81,58.76,614,"1,045",Y2018
